Title,Start,End,Duration,Created by,Description,Where,Calendar
EAST OAK: Broadly / Josh Mellick,09/30/2014 11:00,09/30/2014 12:00,01:00,Roshanda Cummings,"+ RESERVATION +

Room: East Oakland Conference Room
Name: Josh Mellick 
Org: Broadly
Member Level: Full-time ($15/hr)
Contact: josh@broadly.com

PRICE 
$15/hr x 1 hour = $15.00

Payment due: morning of booking via Square @ Host desk.",Impact Hub Oakland ,Conference Room
Salesforce for Events,09/30/2014 14:00,09/30/2014 17:00,03:00,Lisa Chacon,,Meridian Room,Conference Room
Joey Barr - instead of a phone booth,09/30/2014 15:00,09/30/2014 16:00,01:00,Tatiana Vekovishcheva,,,Conference Room
GALLERY - Omi Interviews,09/30/2014 16:00,09/30/2014 18:00,02:00,Ashara Ekundayo,,OMI,Conference Room
MERIDIAN - Uptima Business Bootcamp Class ,09/30/2014 18:00,09/30/2014 21:00,03:00,Calgary Brown,"
Time includes setup (5:30-6) and cleanup (9-9:30)

- 5 tables 
- 20 chairs
- AV - Projector onto mounted screen
- 16 people max (students + teachers) 

Taking down Meridian logos

Contact:
Rani Croager
Cooperative Education Ventures
rani.croager@coopedventures.com",Meridian Room,Conference Room
UPTOWN - Hack the Hood,10/01/2014 10:00,10/01/2014 12:00,02:00,Calgary Brown,"+ RESERVATION +

Room: Uptown Conference Room
Name: Mary Fuller
Org: Hack The Hood
Membership Level: Google Impact Winner (office rate, invoiced to Impact Hub Bay Area.) 

+ PRICE +

$40/hr x 2 hours = $80

Payment: invoice to Impact Hub Bay Area ","Impact Hub Oakland, 2323 Broadway, Oakland, CA, United States",Conference Room
MERIDIAN - Fertl,10/01/2014 10:00,10/01/2014 12:00,02:00,Calgary Brown,,,Conference Room
GALLERY - Numi Tea walkthru,10/01/2014 11:00,10/01/2014 12:00,01:00,Ashara Ekundayo,,omi gallery,Conference Room
UPTOWN - IHO Marketing Meeting,10/01/2014 12:00,10/01/2014 14:00,02:00,Simka Alisa Kostenko,,UPTOWN,Conference Room
MERIDIAN ROOM -Meridian University (RG/SS),10/01/2014 13:00,10/01/2014 17:30,04:30,Courtney Lubell,,,Conference Room
EAST OAK - Conf call use,10/01/2014 14:00,10/01/2014 15:00,01:00,Calgary Brown,,,Conference Room
ON BROADWAY bringing in 2nd stage for World Trust Event,10/01/2014 17:00,10/01/2014 21:00,04:00,Mikayla Weissman,,,HUB Oakland Events
UPTOWN - Feng Shui School,10/01/2014 17:00,10/01/2014 19:00,02:00,Calgary Brown,"Using 2 free hours as part of package deal.  
",,Conference Room
Downtown - dont rent ,10/01/2014 18:00,10/01/2014 21:00,03:00,Mikayla Weissman,,,Conference Room
Downtown - dont rent ,10/01/2014 18:00,10/01/2014 21:00,03:00,Mikayla Weissman,,,Conference Room
MERIDIAN ROOM - Meridian University - Rob Gall (RG),10/02/2014 08:30,10/02/2014 17:30,09:00,Courtney Lubell,,,Conference Room
GALLERY: Next Gen Climate Round Table,10/02/2014 10:00,10/02/2014 13:00,03:00,Roshanda Cummings,"+ RESERVATION +

Room: Gallery
Name: Alex Fujinaka
Org: Next Gen Climate
Membership Level: Non-Member ($115/hour) 
Contact: afujinaka@nextgenclimate.org 

+ PRICE +

$115/hour x 3 hours = $345.00
                   tax (0%)          0.00
-----------------------------------------
                                    $345.00

Payment Due: October 2nd, 2014 upon arrival
Check or card accepted at host desk. 
For card, 5% service charge applies. ","Impact Hub Oakland, 2323 Broadway, Oakland, CA, United States",Conference Room
KITCHEN - Pour Over Demo with Red Bay Coffee,10/02/2014 11:00,10/02/2014 13:00,02:00,Calgary Brown,,,HUB Oakland Events
LvL Analytics: Greenside Development Foundation,10/02/2014 12:30,10/02/2014 16:30,04:00,Impact Hub Oakland,"+ RESERVATION +

Room: East Oakland
Name: Bo Ghiradelli
Organization: Greenside Development Foundation
Membership Level: Unlimited ($15/hour)
Contact: Bo.ghiradelli@greensidedevelopment.org 

+ PRICE +
$15/hour x 4 hours = $60.00
                Tax (0%)        0.00
_______________________
                 Subtotal     $60.00

Payment Due: Friday, October 10th, 2014 (PAID) 
Card or personal check available at the host desk.


",Impact Hub Oakland ,Conference Room
EAST OAK - Keenan,10/02/2014 13:00,10/02/2014 14:00,01:00,Calgary Brown,"Total is $25

PAID",,Conference Room
UPTOWN: Sustainability,10/02/2014 13:30,10/02/2014 15:30,02:00,Roshanda Cummings,"RESERVATION + 

October 2nd, 2014 
1:30pm to 3:30pm

Room: Uptown Conference Room 
Name: Melissa Hines 
Org: Sustainability
Membership Level: Office  (part-time $45/hour) 

+ PRICE +

$45/hour x 2 hours = $90.00

Payment due: Monthly Invoice via Impact Hub Oakland ","Impact Hub Oakland, 2323 Broadway, Oakland, CA, United States",Conference Room
EAST OAK: Digin ,10/02/2014 14:30,10/02/2014 16:30,02:00,Roshanda Cummings,"+ RESERVATION +

Room: East Oakland
Name: Odin Zackman
Org: Digin
Membership Level: Part-Time ($25/hour)
Contact: odin@digin.org 

+ PRICE +

$25/hour x 2 hours = $50.00
                  tax (0%)       0.00 
_______________________
                                  $50.00

Payment Due: October 2nd, 2014 upon arrival
Card accepted at the host desk",,Conference Room
ON BROADWAY & OMI - World Trust Education gala,10/02/2014 17:30,10/02/2014 22:30,05:00,Konda Mason,,,HUB Oakland Events
EAST OAK: Gil Friend,10/03/2014 10:30,10/03/2014 15:00,04:30,Lisa Chacon,,,Conference Room
UPTOWN - BALLE,10/03/2014 11:00,10/03/2014 12:00,01:00,Calgary Brown,,,Conference Room
Sexy Salad,10/03/2014 12:30,10/03/2014 13:30,01:00,Lisa Chacon,,,HUB Oakland Events
ATRIUM - ULI Uptown Explore Oakland,10/03/2014 17:00,10/03/2014 18:30,01:30,Mikayla Weissman,,,HUB Oakland Events
Omi Gallery Opening/First Friday ,10/03/2014 18:45,10/03/2014 21:00,02:15,Ashara Ekundayo,"Event Staff:
Set up: 6:45pm-7pm
person one: 

Take Down: 8:45pm-9:00pm
person one: 
person two: 

Event Host: Ashara

Space/furniture setup:
OMI GALLERY
theater style seating for 30
portable pa system in breezeway for dj
A/V set up details:

Event info:
7-10pm Davy D - DJ
8:15pm-8:30pm 
Art Talk - what if there is no art?
Speakers: Boots Riley & Favianna","Omi, Broadway, Atrium",HUB Oakland Events
On BroadwayMeant to B: An Evening with Rising Appalachia,10/03/2014 19:00,10/03/2014 21:00,02:00,Events Coordinator,WITH IHO OMI First Friday,,HUB Oakland Events
Demetria Scheduled for clean up,10/03/2014 23:00,10/04/2014 00:00,01:00,Events Coordinator,"Event Name: ULI Uptown Explore Oakland
Date: 10/3
Time: 11pm
Location: BROADWAY ATRIUM & GALLERY
Expected Attendance: 150",,HUB Oakland Events
BROADWAY The Soul Yoga Project,10/04/2014 09:00,10/04/2014 10:30,01:30,Events Coordinator,"JOIN KBLX RADIO/YOGA DIVA NIKKI THOMAS–BAY AREA CO-HOST OF THE STEVE HARVEY MORNING SHOW–FOR A SPECIAL SERIES OF YOGA WORKSHOPS IN SEPTEMBER (NATIONAL YOGA MONTH)! THE SOUL YOGA PROJECT: SESSIONS FOR HEALING AND PERSONAL POWER IS YOUR FALL JUMP START TO YOUR PERSONAL PEAK. WE’LL EXPLORE A NEW THEME EVERY SATURDAY MORNING–INCORPORATING VINYASAS/ASANAS, MEDITATIONS, MUSIC, AND DISCUSSIONS TO RE-TUNE THE BODY, MIND, AND SOUL!",,HUB Oakland Events
UPTOWN - Fertl,10/04/2014 15:30,10/04/2014 18:30,03:00,Tatiana Vekovishcheva,,,Conference Room
MERIDIAN ROOM - Meridian University - RG/OK,10/06/2014 08:30,10/06/2014 14:30,06:00,Courtney Lubell,,,Conference Room
UPTOWN - HUB Oak Staff Meeting,10/06/2014 10:00,10/06/2014 12:00,02:00,Tatiana Vekovishcheva,,,Conference Room
EAST OAK - Mani Niall,10/06/2014 13:30,10/06/2014 14:30,01:00,Lisa Chacon,,,Conference Room
GALLERY - Ashara,10/06/2014 14:30,10/06/2014 16:00,01:30,Ashara Ekundayo,,,Conference Room
MEDITATION ROOM - 30 Min Guided Meditation,10/06/2014 15:00,10/06/2014 15:30,00:30,Calgary Brown,,,HUB Oakland Events
EAST OAK: Greenside Development ,10/06/2014 15:30,10/06/2014 18:00,02:30,Roshanda Cummings,"+ RESERVATION +

Room: Uptown Conference Room
Name: Bo Ghirardelli 
Org: Greenside Development 
Membership Level: Unlimited ($15/hour)

+ PRICE +

$15/hr x 2.5 hours = $37.50

Payment: October 6th, 2014 upon arrival. (PAID) 
Card accepted at the Host Desk ",Impact Hub Oakland ,Conference Room
MERDIAN - Salesforce Meeting with Sue and Kayla,10/06/2014 15:30,10/06/2014 18:00,02:30,Mikayla Weissman,,,Conference Room
MERIDIAN - Beyond the Culture of Seperation,10/06/2014 18:30,10/06/2014 21:00,02:30,Mikayla Weissman,,,HUB Oakland Events
UPTOWN - Sondra Hall,10/06/2014 18:30,10/06/2014 20:00,01:30,Calgary Brown,"$65 x 1.5 = $97.5 - PAID on 9/29/2014
",,Conference Room
Downtown - Today's Future Sound (Elliot Gann),10/06/2014 18:30,10/06/2014 19:30,01:00,Calgary Brown,,,Conference Room
Uptown La Clinica Dela Raza,10/07/2014 09:00,10/07/2014 15:00,06:00,Events Coordinator,"Porter Ferebee - 510 813 4614 - pferebee@laclinica.org
hold placed on calendar because she couldn't pull up form, placed a call.
is going to email Roe today 9/26

TOTAL: $390",,Conference Room
MERIDIAN - One-on-one monthly meeting,10/07/2014 09:30,10/07/2014 17:30,08:00,Mikayla Weissman,,,Conference Room
EAST OAK - Bo Ghirardelli ,10/07/2014 10:30,10/07/2014 13:30,03:00,Calgary Brown,$15 x 3 = $45,,Conference Room
MERIDIAN - Uptima Business Bootcamp Class ,10/07/2014 18:00,10/07/2014 21:00,03:00,Calgary Brown,"
Time includes setup (5:30-6) and cleanup (9-9:30)

- 5 tables 
- 20 chairs
- AV - Projector onto mounted screen
- 16 people max (students + teachers) 

Taking down Meridian logos

Contact:
Rani Croager
Cooperative Education Ventures
rani.croager@coopedventures.com",Meridian Room,Conference Room
UPTOWN - KM,10/07/2014 18:00,10/07/2014 22:00,04:00,Konda Mason,,,Conference Room
Dreamforce ,10/08/2014 09:00,10/08/2014 09:15,00:15,Ashara Ekundayo,,,Conference Room
UPTOWN: Hack the Hood ,10/08/2014 09:30,10/08/2014 12:00,02:30,Roshanda Cummings,"+ RESERVATION +

Room: Uptown Conference Room
Name: Mary Fuller
Org: Hack The Hood
Membership Level: Google Impact Winner (office rate, invoiced to Impact Hub Bay Area.) 

+ PRICE +

$40/hr x 2.5 hours = $100.00

Payment: invoice to Impact Hub Bay Area ",Impact Hub Oakland ,Conference Room
KITCHEN - Pour Over Demo with Red Bay Coffee,10/08/2014 11:00,10/08/2014 13:00,02:00,Calgary Brown,,,HUB Oakland Events
MERIDIAN ROOM - Meridian University - RG/SS,10/08/2014 13:15,10/08/2014 17:30,04:15,Courtney Lubell,,,Conference Room
Gallery - BALLE,10/08/2014 13:30,10/08/2014 16:30,03:00,Tatiana Vekovishcheva,,,Conference Room
UPTOWN - Konda,10/08/2014 14:00,10/08/2014 17:00,03:00,Konda Mason,,,Conference Room
ON BROADWAY Conversations,10/08/2014 18:00,10/08/2014 20:00,02:00,Events Coordinator,"contact Seth Steward <sethsteward@gmail.com>

Demetria is scheduled",,HUB Oakland Events
Demetria Scheduled,10/08/2014 21:30,10/08/2014 22:30,01:00,Events Coordinator,"Event Name: Conversations
Date: 10/8
Time: 9:30pm
Location: BROADWAY
Expected Attendance: 150",,HUB Oakland Events
UPTOWN - Konda,10/09/2014 09:30,10/09/2014 11:00,01:30,Konda Mason,,,Conference Room
MERIDIAN ROOM: Borrego Solar Systems,10/09/2014 10:00,10/09/2014 17:00,07:00,Courtney Lubell,"+ RESERVATION +

Room: Meridian Conference Room
Organization: Borrego Solar Systems
Membership Level: Non-Member ($95/hour)
Contact: mchohan@borregosolar.com

+ PRICE + 

$95/hour x 13 hours = $1,235.00
               Tax (0%)                0.00
-------------------------------------------
                     Subtotal: $1,235.00

Payment Due: October 9th, 2014 upon arrival
Checks accepted at the Host Desk or invoicing is available.",Impact Hub Oakland,Conference Room
East Oakland: Hack The Hood,10/09/2014 10:30,10/09/2014 13:30,03:00,Impact Hub Oakland,"$45 - she will come arrange payment after

+ RESERVATION +

Room: East Oakland
Organization: Hack the hood
Membership Level: Full time-Member ($15/hour)
Contact: ________________



+ PRICE + 

$15/hour x 3 hours = $45
               Tax (0%)                0.00
-------------------------------------------
                     Subtotal: $45

Payment Due: TBD upon completion
Checks accepted at the Host Desk or invoicing is available.","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
GALLERY - High Tea w/ NUMI Tea,10/09/2014 11:00,10/09/2014 13:00,02:00,Ashara Ekundayo,"Join Numi Tea for afternoon tea and to dive into their their new campaign, Together for H₂OPE. Together for H₂OPE is a company-wide initiative that will raise awareness about and funds for the worldwide water crisis. Numi Organic Tea's founders started the comapny because they believe everyone deserves a good cup of quality tea. But, what is tea without water? While we are fortunate to have access to clean and safe drinking water, 1 in 9 people on the planet live without this basic human right. We want to help change that.",Omi Gallery,Conference Room
GALLERY - High Tea w/ NUMI Tea,10/09/2014 12:00,10/09/2014 13:00,01:00,Ashara Ekundayo,"Join Numi Tea for afternoon tea and to dive into their their new campaign, Together for H₂OPE. Together for H₂OPE is a company-wide initiative that will raise awareness about and funds for the worldwide water crisis. Numi Organic Tea's founders started the comapny because they believe everyone deserves a good cup of quality tea. But, what is tea without water? While we are fortunate to have access to clean and safe drinking water, 1 in 9 people on the planet live without this basic human right. We want to help change that.",Omi Gallery,HUB Oakland Events
UPTOWN -Konda,10/09/2014 12:00,10/09/2014 13:00,01:00,Konda Mason,,,Conference Room
GALLERY - High Tea w/ NUMI Tea,10/09/2014 12:00,10/09/2014 13:00,01:00,Ashara Ekundayo,"Join Numi Tea for afternoon tea and to dive into their their new campaign, Together for H₂OPE. Together for H₂OPE is a company-wide initiative that will raise awareness about and funds for the worldwide water crisis. Numi Organic Tea's founders started the comapny because they believe everyone deserves a good cup of quality tea. But, what is tea without water? While we are fortunate to have access to clean and safe drinking water, 1 in 9 people on the planet live without this basic human right. We want to help change that.",Omi Gallery,Conference Room
DOWNTOWN: Positive Communication Practices ,10/09/2014 15:00,10/09/2014 17:00,02:00,Roshanda Cummings,"+ RESERVATION +

Room: Uptown 
Name: Kelvin Potts
Org: Positive Communication Practices
Membership Level: Part-time ($45/hour)
Contact: kelvin@positivepractices.net

+ PRICE +

$45/hour x 2 = $90.00

Payment Due: October 9th, 2014 upon arrival 
Card accepted at Host Desk. ","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
HOLD - Gallery - Leola Group - waiting for confirmation,10/09/2014 16:00,10/09/2014 17:00,01:00,Impact Hub Oakland,,,Conference Room
OMI GALLERY: BALLE,10/10/2014 09:30,10/10/2014 17:00,07:30,Roshanda Cummings,"+ RESERVATION +

Room: Downtown
Name: Joel Adlen
Org: BALLE
Membership Level: Office 
contact: joel@bealocalist.org 

included in rental agreement. 

","Impact Hub Oakland, 2323 Broadway, Oakland, CA, United States",Conference Room
MERIDIAN ROOM: Borrego Solar Systems,10/10/2014 10:00,10/10/2014 17:00,07:00,Impact Hub Oakland,,,Conference Room
UPTOWN: Hack The Hood,10/10/2014 10:30,10/10/2014 10:30,00:00,Roshanda Cummings,"+ RESERVATION +

Room: Uptown Conference Room
Name: Zakiya Harris 
Org: Hack the hood
Membership Level: Google Impact Winner (invoice to Impact hub SF) 


$40/hr x 3 hours = $120.00

Payment: invoice to Impact Hub SF ",Impact Hub Oakland ,Conference Room
Sexy Salad,10/10/2014 12:30,10/10/2014 13:30,01:00,Lisa Chacon,,,HUB Oakland Events
UPTOWN - Mills College // Kristen Hull,10/10/2014 13:00,10/10/2014 14:00,01:00,Calgary Brown,No Charge.  Kristen is working with Mills College students on an IHO staff satisfaction survey,,Conference Room
GALLERY - Feng Shui School,10/10/2014 13:00,10/10/2014 17:00,04:00,Impact Hub Oakland,,,Conference Room
BROADWAY - Life is Living Launch Party,10/10/2014 19:00,10/10/2014 22:00,03:00,Ashara Ekundayo,"Quoted $1000 all inclusive
WITH event
Demetria is scheduled
Site Manager: Zochi waiting confirmation",,HUB Oakland Events
Demetria Scheduled,10/10/2014 23:00,10/11/2014 00:00,01:00,Events Coordinator,"Event Name: Life is Living Launch Party
Date: 10/10
Time: 11:00pm
Location: BROADWAY
Expected Attendance: 150",,HUB Oakland Events
MERIDIAN - Feng Shui School,10/11/2014 10:00,10/11/2014 17:00,07:00,Mikayla Weissman,,,Conference Room
Rushenberg grant for activists,10/11/2014 11:00,10/11/2014 12:00,01:00,Ashara Ekundayo,,,Conference Room
ON BROADWAY & ATRIUM - Fall Wine Event,10/11/2014 18:00,10/11/2014 21:00,03:00,Mikayla Weissman,Site Manager: Caleb - needing confirmation,,HUB Oakland Events
Demetria Scheduled,10/11/2014 23:00,10/12/2014 00:00,01:00,Events Coordinator,"Event Name: Fall Wine Event
Date: 10/11
Time: 11:00pm
Location: BROADWAY & Atrium
Expected Attendance: 300",,HUB Oakland Events
MERIDIAN - Feng Shui School,10/12/2014 10:00,10/12/2014 17:00,07:00,Mikayla Weissman,,,Conference Room
ON BROADWY Black Girls Code Filming,10/12/2014 11:30,10/12/2014 20:00,08:30,Events Coordinator,,,HUB Oakland Events
UPTOWN - HUB Oak Staff Meeting,10/13/2014 10:00,10/13/2014 12:00,02:00,Tatiana Vekovishcheva,,,Conference Room
UPTOWN - KM,10/13/2014 12:00,10/13/2014 13:00,01:00,Konda Mason,,,Conference Room
MEDITATION ROOM - 30 Min Guided Meditation,10/13/2014 15:00,10/13/2014 15:30,00:30,Calgary Brown,,,HUB Oakland Events
DOWNTOWN - Jaclyn from SF hub Meeting,10/13/2014 16:00,10/13/2014 18:00,02:00,Impact Hub Oakland,"started at 3:52, couple hours booked @ full time member price ($15.hr) = $30 to be paid upon completion of meeting. ","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
UPTOWN - Today's Future Sound (Elliot Gann),10/13/2014 18:30,10/13/2014 19:30,01:00,Calgary Brown,,,Conference Room
GALLERY - #NoArt Talk #2 w/ Boots Riley,10/13/2014 18:30,10/13/2014 20:30,02:00,Ashara Ekundayo,"couch seating for 3 up front, combo couches and chairs in semi-circle for audience, flatscreen tv w/ laptop

table outside for refreshments",Gallery,Conference Room
MERIDIAN - Beyond the Culture of Seperation,10/13/2014 18:30,10/13/2014 21:00,02:30,Mikayla Weissman,,,HUB Oakland Events
GALLERY - #NoArt Talk #2 w/ Boots Riley,10/13/2014 18:30,10/13/2014 20:30,02:00,Ashara Ekundayo,"couch seating for 3 up front, combo couches and chairs in semi-circle for audience, flatscreen tv w/ laptop

table outside for refreshments",Gallery,HUB Oakland Events
UPTOWN: founders,10/14/2014 09:00,10/14/2014 13:00,04:00,Roshanda Cummings,,Impact hub Oakland,Conference Room
MERIDIAN: Hack the Hood,10/14/2014 10:30,10/14/2014 15:00,04:30,Roshanda Cummings,"+ RESERVATION +

Room: Meridian Conference Room
Name: Mary Fuller / Susan Mernit
Org: Hack The Hood
Membership Level: Google Impact Winner (office rate, invoiced to Impact Hub Bay Area.) 

+ PRICE +

$45/hr x 4.5 hours = $202.50
               tax ( 0%)       0.00
________________________
                 subtotal: $202.50

Payment: invoice to Impact Hub Bay Area ","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
EAST OAK - Lisa Colvin,10/14/2014 12:30,10/14/2014 14:30,02:00,Impact Hub Oakland,"
*** Roe, pls double check that this looks right!  Thx. 


+ RESERVATION +

Room: East Oakland
Name: Lisa Colvin
Membership Level: 100/hr/m ($15/hour)
Contact: LisaColvin@Gmail.com

PRICE
$15/hr x 2 hours = $30.00
PAID",,Conference Room
UPTOWN: Citizen Engagement Lab,10/14/2014 13:00,10/14/2014 17:00,04:00,Roshanda Cummings,":: update ::
Price needs to be updated, this event was cancelled, they need only be invoiced for a $50 cancellation fee.  - Jonathan
:: update ::


+ RESERVATION +

Room: Uptown Conference Room
Name: Ian Inaba via Alica Mteuzi
Org: Citizen Engagement Lab
Membership Level: Non-Member ($85/hour)
Contact: alica@engagementlab.org




PRICE
$85/hr x 8 hours = $680.00
Payment due: Invoice from IHO
",Impact Hub Oakland ,Conference Room
EAST OAK: Steven Morrison ,10/14/2014 15:00,10/14/2014 16:00,01:00,Roshanda Cummings,"+ RESERVATION +
Room: East Oakland
Name: Steven Morrison
Org: 
Membership Level: Part-Time ($25/hour)
contact: steven@spiritualworkout.com

+ PRICE +
$25/hour x 1 = $25.00
         tax (0%)    0.00
__________________
                       $25.00

Payment: PAID ","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
UPTOWN: Courtney Ruby ,10/14/2014 17:15,10/14/2014 20:15,26:45,Roshanda Cummings,"+ RESERVATION +

Room: Uptown Conference Room
Name: Amelia Wiederaenders
Org: Courtney Ruby for Mayor
Membership Level: Office  ($45/hour)
Contact: amelia@courtneyruby.com

PRICE
$45/hr x  3 hours = $135.00

Payment due: Monthly Invoice via Impact Hub Oakland to Courtney Ruby's office. ","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
MERIDIAN - Uptima Business Bootcamp Class ,10/14/2014 18:00,10/14/2014 21:00,03:00,Calgary Brown,"
Time includes setup (5:30-6) and cleanup (9-9:30)

- 5 tables 
- 20 chairs
- AV - Projector onto mounted screen
- 16 people max (students + teachers) 

Taking down Meridian logos

Contact:
Rani Croager
Cooperative Education Ventures
rani.croager@coopedventures.com",Meridian Room,Conference Room
UPTOWN: Hack The Hood ,10/15/2014 09:30,10/15/2014 13:00,03:30,Roshanda Cummings,"+ RESERVATION +

Room: Uptown Conference Room
Name: Mary Fuller
Org: Hack The Hood
Membership Level: Google Impact Winner (office rate, invoiced to Impact Hub Bay Area.) 

+ PRICE +

$40/hr x 3.5 hours = $140.00 

Payment: invoice to Impact Hub Bay Area ","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
Meridian - Mikayla & Sue Salesforce,10/15/2014 11:00,10/15/2014 13:00,02:00,Impact Hub Oakland,,,Conference Room
GALLERY - SEO/WEBSITE strategy meeting,10/15/2014 11:00,10/15/2014 12:30,01:30,Da Karai,,Gallery ,Conference Room
GALLERY - Natural Flow Lunch & Learn,10/15/2014 12:30,10/15/2014 13:30,01:00,Mikayla Weissman,,,Conference Room
GALLERY - Natural Flow Lunch & Learn,10/15/2014 12:30,10/15/2014 13:30,01:00,Mikayla Weissman,,,HUB Oakland Events
UPTOWN - Konda,10/15/2014 16:00,10/15/2014 18:00,02:00,Konda Mason,,,Conference Room
MERIDIAN - Empower You,10/15/2014 17:30,10/15/2014 21:00,03:30,Calgary Brown,"workshop starts at 6pm

Total = $285

mailing remainder of $185 today Oct_13_2014

Providing a $100 deposit

Set up: 

25 Chairs - facing the white
2 white square tables in the back of the space for vendors
1 registration table outside of the room
water to be safe... 

toribamos@gmail.com",,Conference Room
GALLERY - Hub Bay Area Whiskey Society MeetUp,10/15/2014 18:00,10/15/2014 20:00,02:00,Calgary Brown,Member community gathering.  No charge.  Please ask Calgary if you have any questions. ,,HUB Oakland Events
EAST OAK - Brianna Swartz,10/16/2014 09:00,10/16/2014 17:00,08:00,Calgary Brown,TOTAL = $25 x 8 = $200,,Conference Room
UPTOWN - Konda,10/16/2014 10:00,10/16/2014 12:00,02:00,Konda Mason,,,Conference Room
KITCHEN - Pour Over Demo with Red Bay Coffee,10/16/2014 11:00,10/16/2014 13:00,02:00,Calgary Brown,,,HUB Oakland Events
GALLERY - #NoArt/Live Cultures mtg,10/16/2014 14:00,10/16/2014 16:00,02:00,Ashara Ekundayo,,Omi gallery at IHO,Conference Room
(HOLD) Digital Detox Zone - Co Op Month Open House Meet Up,10/16/2014 17:30,10/16/2014 20:00,02:30,Calgary Brown,,,HUB Oakland Events
GALLERY HERA Sponsor Tasting,10/16/2014 18:00,10/16/2014 19:00,01:00,Mikayla Weissman,"Contact: erika@dogoodevents.org
Scotch tasting, waiting to hear if apps will be served.

Just 10-12 people",,Conference Room
GALLERY HERA Sponsor Tasting,10/16/2014 18:00,10/16/2014 19:00,01:00,Calgary Brown,"Contact: erika@dogoodevents.org
Scotch tasting, waiting to hear if apps will be served.

Just 10-12 people",,HUB Oakland Events
Meridian Room: Meridian University - Rob Gall/OK,10/17/2014 08:30,10/17/2014 22:00,13:30,Rob Gall,,,Conference Room
EAST OAK: Signature Trade Group,10/17/2014 09:30,10/17/2014 10:45,01:15,Roshanda Cummings,"+ RESERVATION +

Room: East Oakland 
Name: Doug Boxer
Org: Signature Trade Group
Membership Level: Non-Member ($35/hour)
contact: dboxer@signaturetradegroup.com

+ PRICE +

$35/hr x 1.25 hours = $43.75

Payment Due: October 18th, 2014 upon arrival
Card accepted at the Host Desk. 
","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
GALLERY: Next Gen Climate ,10/17/2014 10:30,10/17/2014 13:00,02:30,Roshanda Cummings,"+ RESERVATION +

Room: Gallery 
Name: Alex Fujinaka 
Org: Next Gen Climate 
Membership Level: Non-Member ($115/hour)
contact: afujinaka@nextgenclimate.org 

+ PRICE +

$115/hr x 2.5hours = $287.50
Payment: Invoice from Impact Hub Oakland 
",Impact Hub Oakland ,Conference Room
EAST OAK - David Jaber,10/17/2014 12:00,10/17/2014 13:00,01:00,Impact Hub Oakland,Free - all sound booths taken - Jonathan,,Conference Room
Sexy Salad feat. Kingston 11,10/17/2014 12:30,10/17/2014 13:30,01:00,Lisa Chacon,,,HUB Oakland Events
MERIDIAN ROOM: Meridian University - Rob Gall,10/18/2014 08:30,10/18/2014 22:00,13:30,Rob Gall,,,Conference Room
Atrium - Meridian with Don Michael,10/18/2014 10:00,10/18/2014 13:00,03:00,Mikayla Weissman,Site Manager - Caleb needs confirming,,HUB Oakland Events
UPTOWN: Rita Morrish,10/18/2014 11:00,10/18/2014 12:30,01:30,Events Coordinator,"+ RESERVATION +

Room: Uptown Conference Room
Name: Rita Morrish
Org: N/A
Membership Level: Hub Friend ($65/hour)
contact: morrishrnj@yahoo.com 

+ PRICE +

$65/hr x 1.5 hours = $97.50
       discount 20%  -$19.50
_______________________
       subtotal           $78.00

Payment Due: October 18th, 2014 
Credit/Debit accepted at the host desk.  ","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
Meridian Room: Meridian University - Rob Gall,10/19/2014 08:30,10/19/2014 22:00,13:30,Rob Gall,,,Conference Room
(HOLD) ATRIUM Meeting (Jen Angel),10/19/2014 09:00,10/19/2014 18:00,09:00,Events Coordinator,,,HUB Oakland Events
UPTOWN - HUB Oak Staff Meeting,10/20/2014 10:00,10/20/2014 12:00,02:00,Tatiana Vekovishcheva,,,Conference Room
(HOLD) UPTOWN: Laurel Burch Studios,10/20/2014 11:00,10/20/2014 12:00,01:00,Roshanda Cummings,,"Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
EAST OAK - Lisa Colvin,10/20/2014 13:00,10/20/2014 16:00,03:00,Impact Hub Oakland,Group Meeting,East Oakland,Conference Room
UPTOWN -Konda,10/20/2014 14:30,10/20/2014 16:30,02:00,Konda Mason,,,Conference Room
MEDITATION ROOM - 30 Min Guided Meditation,10/20/2014 15:00,10/20/2014 15:30,00:30,Calgary Brown,,,HUB Oakland Events
UPTOWN - Today's Future Sound (Elliot Gann),10/20/2014 18:30,10/20/2014 19:30,01:00,Calgary Brown,,,Conference Room
MERIDIAN - Beyond the Culture of Seperation,10/20/2014 18:30,10/20/2014 21:00,02:30,Mikayla Weissman,,,HUB Oakland Events
